Question,Equation,Answer,Numbers
"Ann is N_00 years older than Kristine. In N_01 years, Kristine's age is N_02 more than the difference of their ages will be. How old are they now?",v0 - v1 + v0 = N_02 - N_01 <BRG> v1 - v0 = N_00,24.0 19.0,5.0 10.0 24.0
"A scientist has two solutions, which she has labeled Solution A and Solution B. Each contains salt. She knows that Solution A is N_00 salt and Solution B is N_01 salt. She wants to obtain N_02 ounces of a mixture that is N_03 salt. How many ounces of each solution should she use?",N_00 * v0 + N_01 * v1 = N_02 * N_03 <BRG> v0 + v1 = N_02,28.0 112.0,0.4 0.9 140.0 0.8
The larger of two numbers is N_00 more than N_01 times the smaller. Their sum is N_02 . FIND THE numbers,v0 - N_01 * v1 = N_00 <BRG> v0 + v1 = N_02,13.0 54.0,2.0 4.0 67.0
"Walt made an extra $ N_00 last year from a part-time job. He invested part of the money at a N_01 annual rate of interest and the rest at an N_03 annual rate of interest. At the end of the year, he made a total of $ N_02 in interest. How much was invested at N_03 ?",N_00 * v0 + N_02 * v1 = N_02 <BRG> v1 + v0 = N_00,4000.0 5000.0,9000.0 0.09 770.0 0.08
"Susan decided to run to the store, which is N_00 km from her house. She ran at a rate of N_01 km per hour for part of the way and then walked at a rate of N_02 km per hour the rest of the way. If the total trip took N_03 hrs, how many km did she run?",1.0 / N_02 * v0 + 1.0 / N_01 * v1 = N_03 <BRG> v1 + v0 = N_00,4.5 3.5,8.0 7.0 3.0 2.0
The sum of two numbers is N_00 . The larger number is nine less than three times the smaller. Find both numbers.,3.0 * v0 - v1 = 9.0 <BRG> v0 + v1 = N_00,22.25 57.75,80.0
If one is five more than another and their sum is seventy-one. Find the number.,v0 + v1 = 71.0 <BRG> v0 - v1 = 5.0,33.0 38.0,
A total of $ N_00 is invested in two funds paying N_01 and N_02 simple interest. The annual interest is $ N_03 . How much is invested in each fund?,N_01 * v0 + N_02* v1 = N_03 <BRG> v1 + v0 = N_00,26000.0 24000.0,50000.0 0.08 0.085 4120.0
Two integers have a sum of N_00 . The difference between the two numbers is N_01 . What are the two numbers?,v0 + v1 = N_00 <BRG> v0 - v1 = N_01,150.0 105.0,255.0 45.0
A N_00 -foot long piece of rope is cut into two pieces so that one piece is three feet shorter than four times the other piece. Find the length of each piece.,4.0 * v0 - v1 = 3.0 <BRG> v0 + v1 = N_00,12.0 45.0,57.0
How many ounces of pure chocolate must be added to N_00 ounces of chocolate topping that is N_01 chocolate to make a topping that is N_02 chocolate?,v0 - N_02 * v0 = N_02* N_00 - 0.01 * 50.0 * N_00,220.0,220.0 0.5 0.75
How much pure iodine must be added to N_00 mL of N_01 iodine solution to get a N_02 iodine solution?,v0 -N_02 * v0 = N_02 * N_00 - N_01 * N_00,37.5,250.0 0.08 0.2
"A bricklayer and an electrician together spend N_00 hours working on a new house. If the bricklayer earns $ N_01 per hour, the electrician earns $ N_02 per hour, and the owner pays them a total of $ N_03 for their work, how many hours does each worker spend on the house?",N_01 * v0 + N_02 * v1 = N_03 <BRG> v0 + v1 = N_00,67.5 22.5,90.0 12.0 16.0 1350.0
"If one number exceeds another number by N_00 and the larger number is N_01 times the smaller number, what is the smaller number?",v0 - v1 = N_00 <BRG> v0 - N_01 * v1 = 0.0,26.0 39.0,13.0 1.5
"Tickets for a basketball tournament were $ N_00 for students and $ N_01 for nonstudents. Total sales were $ N_02, and N_03 more student tickets were sold than nonstudents. How many of each type of ticket were sold?",N_00 * v0 + N_01 * v1 = N_02 <BRG> v0 - v1 = N_03,850.0 600.0,6.0 9.0 10500.0 250.0
A truck traveling N_00 miles an hour and a car traveling N_01 miles an hour cover the same distance. The truck travels N_02 hours longer than the car. How far did they travel?,1.0 / N_00 * v0 - 1.0 / N_01 * v0 = N_02,990.0,45.0 55.0 4.0
"A and B start running towards each other with speeds of N_00 m/hr and N_01 miles/hr. Initially, they are N_02 miles apart when they start. After how many hr will they meet.",N_00 * v0 + N_01 * v0 = N_02,10.0,30.0 20.0 500.0
Joe's age is N_00 less than the age of his brother Tom. The sum of their age is N_01 . Find the age of each.,v0 + v1 = N_01 <BRG> v0 - v1 = N_00,18.5 22.5,4.0 41.0
Mrs. Lynch has N_00 coins in nickels and dimes. Their total value is $ N_01 . How many of each coin is there?,0.05 * v0 + 0.1* v1 = N_01 <BRG> v0 + v1 = N_00,9.0 12.0,21.0 1.65
British sterling silver is a copper-silver alloy that is N_00 copper by weight. How many grams of pure copper and how many grams of British sterling silver should be used to prepare N_01 grams of a copper-silver alloy that is N_02 copper by weight?,v0 + N_00 * v1 = N_02 * N_01 <BRG> v1 + v0 = N_01,5.40540540541 194.594594595,0.075 200.0 0.1
"An airplane travels N_00 km against the wind in N_01 hours and N_02 with the wind in the same amount of time. What is the rate of the plane in still air, and what is the rate of the wind?",N_01 * v0 + N_01 * v1 = N_02 <BRG> N_01 * v0 - N_01 * v1 = N_00,213.0 12.0,6030.0 30.0 6750.0
Leah and Ryanne went out for a bike ride into the country. They averaged N_00 miles per hour on the way out and N_01 miles per hour on the way back by the same roads. Their total travel time was N_02 hours. How far did they go?,1.0 / N_00 * v0 + 1.0 / N_01 * v0 = N_02,72.0,24.0 18.0 7.0
The sum of two numbers is N_00 . The second number is N_01 less than twice the first. Find the two numbers.,2.0 * v0 - v1 = N_01 <BRG> v0 + v1 = N_00,49.0 26.0,75.0 3.0
The difference between two numbers is N_00 . The sum of the two numbers is N_01 . What are the two numbers and their product?,v0 + v1 = N_01 <BRG> v0 - v1 = N_00,35.0 21.0,14.0 56.0
"A pilot flew an average of N_00 mph on a flight out. On the return flight to the same airport, he flew at an average speed of N_01 mph. The total flight time was N_02 hours. How far did he fly each way?",1.0 / N_00 * v0 + 1.0 / N_01 * v0 = N_02,1500.0,300.0 500.0 8.0
"Kevin is N_00 years old, and Vanessa is N_01 years old. How many years will it take until Kevin is only N_02 times as old as Vanessa?",v0 - N_02 * v0 = N_02 * N_01 - N_00,5.0,16.0 2.0 3.0
The difference between two numbers is N_00 . The larger number is three less than six times the smaller number.,6.0 * v0 - v1 = 3.0 <BRG> v1 - v0 = N_00,45.0 8.0,37.0
One number is N_00 less than another. If N_01 times the smaller number plus N_02 times the larger number is N_03 . find the two numbers.,N_02 * v0 + N_01 * v1 = N_03 <BRG> v0 - v1 = N_00,15.0 8.0,7.0 4.0 2.0 62.0
"If the ratio of two brothers' ages is N_00 to N_01 and their total age is N_02 years old, what is the difference in their ages?",N_01 * v0 - N_00 * v1 = 0.0 <BRG> v0 + v1 = N_02,24.0 36.0,3.0 2.0 60.0
"When Ricky was N_00 years old, his father was N_01 . How many years must pass for Ricky to be N_02 years older than N_03 /5 as old as his father?",v0 - 0.2 * v0 = 0.2 * N_01 + N_02 - N_00,5.0,10.0 45.0 5.0 1.0
The cooling system in Ann's car contains N_00 liters of N_01 antifreeze. How much coolant must be drained out and replaced with N_02 antifreeze so that the system will contain N_03 antifreeze? How much of the original coolant will be left in the car?,N_01* v0 + N_02 * v1 = N_00 *N_03 <BRG> v0 + v1 = N_00,7.6 11.4,19.0 0.3 0.8 0.5
"A bricklayer and an electrician together spend N_00 hours working on a new house. If the bricklayer earns $ N_01 per hour, the electrician earns $ N_02 an hour, and the owner pays them a total of $ N_03 for their work. How many hours does each worker spend on the house?",N_01 * v0 + N_02 * v1 = N_03 <BRG> v0 + v1 = N_00,22.5 67.5,90.0 12.0 16.0 1350.0
"One number is four greater than another number. When three times the smaller number is added to twice the larger number, the result is N_00 .",2.0 * v0 + 3.0 * v1 = N_00 <BRG> v0 - v1 = 4.0,11.0 7.0,43.0
It takes Sal N_00 hours to paint a house. It takes Mary N_01 hours to paint the same house. How long will it take to paint the house if both of them work together?,1.0 / N_00 * v0 + 1.0 / N_01 * v0 = 1.0,1.875,5.0 3.0
"One number is N_00 more than N_01 times another. If their sum is N_02 , what is the smaller number?",v0 - N_01 * v1 = N_00 <BRG> v0 + v1 = N_02,42.0 11.0,9.0 3.0 53.0
A high school graduating class is made up of N_00 students. There are N_01 more girls than boys. How many boys are in the class?,v0 + v1 = N_00 <BRG> v0 - v1 = N_01,138.0 207.0,345.0 69.0
"You invest $ N_00 in two accounts paying N_01 and N_02 respectively. If the interest at year's end is N_03 , how much of that amount did you invest at each rate?",N_01 * v0 + N_02 * v1 = N_03 <BRG> v1 + v0 = N_00,3000.0 5000.0,8000.0 0.08 0.05 490.0
"The sum of the digits is N_00 . If the digits are reversed, the number is increased by N_01 . Find the original no.",10.0 * v0 + v1 - 10.0 * v1 - v0 = - 1.0 * N_01 <BRG> v1 + v0 = N_00,3.0 6.0,9.0 27.0
"Mike's house payments rose from $ N_00 to $ N_01 per month. In the past N_02 months, he paid $ N_03 . How many payments at each rate did he make?",N_00 * v0 + N_01 * v1 = N_03 <BRG> v0 + v1 = N_02,5.0 7.0,295.0 310.0 12.0 3615.0
"Jane worked N_00 times as many hours last week as Jim did. If they worked N_01 hours between the two of them, how many hours did each of them work",v0 + v1 = N_01 <BRG> v1 - N_00 * v0 = 0.0,7.0 21.0,3.0 28.0
"A pool can be filled with water in N_00 hours. Draining the pool requires N_01 hours. If the pool is empty and the drain is open, how much time will be needed to fill the pool?",1.0 / N_00 * v0 - 1.0 / N_01 * v0 = 1.0,20.0,10.0 20.0
"Two cyclists leave the city at the same time, one going east and the other going west. The westbound cyclist bikes N_00 mph faster than the eastbound cyclist. After N_01 hours, they are N_02 miles apart. How fast is each cyclist riding?",N_01 * v0 + N_01 * v1 = N_02 <BRG> v1 - v0 = N_00,18.0 23.0,5.0 6.0 246.0
"Jose can paint a room in two hours, Juanita can paint the room in three hours, how long would it take them to paint the room working together?",1.0 / 2.0 * v0 + 1.0 / 3.0 * v0 = 1.0,1.2,
"Anna has N_00 bills in her wallet, some $ N_01 and some $ N_02 . The total value of the bills is $ N_03 . How many of each bill does Anna have?",N_01 * v0 + N_02 * v1 = N_03 <BRG> v0 + v1 = N_00,4.0 8.0,12.0 5.0 10.0 100.0
"You are going to invest $ N_00, part at N_02 and part at N_01 . What is the most that can be invested at N_02 in order to make at least $ N_03 interest per year?",N_01 * v0 +N_02 * v1 = N_03 <BRG> v1 + v0 = N_00,50000.0 -25000.0,25000.0 0.16 0.14 3600.0
Soybean meal is N_00 protein; cornmeal is N_01 protein. How many pounds of each should be mixed together in order to get a N_02 lb mixture that is N_03 protein?,N_00 * v0 + N_01 * v1 = N_02 * N_03 <BRG> v0 + v1 = N_02,240.0 80.0,0.16 0.08 320.0 0.14
A computer online service charges one hourly price for regular use but a higher hourly rate for designated ''premium'' areas. One customer was charged $ N_00 after spending N_01 h in premium areas and N_02 regular hours. Another spent N_03 h in the premium areas and N_04 regular hours and was charged $ N_05 . What does the online service charge per hour for regular and premium service?,N_01 * v0 + N_02 * v1 = N_00 <BRG> N_03 * v0 + N_04 * v1 = N_05,5.0 2.0,28.0 2.0 9.0 3.0 6.0 27.0
One number is seven less than another number. The sum of the numbers is thirty-three. Find the numbers.,v0 + v1 = 33.0 <BRG> v0 - v1 = 7.0,13.0 20.0,
"The difference between two numbers is N_00 . When eight times the smaller number is added to N_01 , the result is ten less than three times the larger number. find the numbers.",8.0 * v0 - 3.0 * v1 = - 1.0 * N_00 - N_01 <BRG> v0 - v1 = N_00,-16.0 -26.0,10.0 40.0
"A discount store sold plastic cups for $ N_00 each and ceramic cups for $ N_01 each. If N_02 cups were sold for a total of $ N_03 ,458, how many cups of each type were sold? What was the dollar value of each type of cup sold?",N_00 * v0 + N_01 * v1 = 1458.0 <BRG> v0 + v1 = N_02,284.0 116.0,3.5 4.0 400.0 1.0
If Jake has N_00  to invest in two accounts. With one account earns N_01 simple interest. And the second account earns N_02 . How much should be invested in each account to earn exactly N_03 at the end of the year?,N_02* v0 + N_01* v1 = N_03 <BRG> v1 + v0 = N_00,7500.0 12500.0,20000.0 0.01 0.03 450.0
"Pat invested a total of $ N_00 . Part of the money yields N_02 interest per year, and the rest yields N_03 interest per year. If the total yearly interest from his investment is $ N_01 , how much did Pat invest at N_02 , and how much did she invest at N_03 ?",N_03* v0 + N_02 * v1 = N_01 <BRG> v1 + v0 = N_00,800.0 2200.0,3000.0 256.0 0.1 0.08
How much water must be added to N_00 liters of a N_01 salt solution to dilute it to a N_02 salt solution?,N_02 * v0 = N_00 * N_01- N_00 * N_02,30.0,90.0 0.2 0.15
A piggy bank consists of nickels and dimes. There are N_00 coins worth $ N_01 . How many nickels and dimes are in the piggy bank,0.05 * v0 + 0.1 * v1 = N_01 <BRG> v0 + v1 = N_00,22.0 8.0,30.0 1.9
"A chemist has one solution that is N_00 pure salt, and another is N_01 pure salt. How many ounces of each solution must he use to produce N_02 ounces of a solution that is N_03 pure salt?",N_00 * v0 + N_02 * v1 = N_02 *N_03 <BRG> v0 + v1 = N_02,40.0 20.0,0.3 0.6 60.0 0.5
Jen works N_00 hours a week more than Ben. Jen worked as much in N_01 weeks as Ben works in N_02 weeks. How many hours does each work per week?,N_01 * v0 - N_02 * v1 = 0.0 <BRG> v0 - v1 = N_00,14.0 21.0,7.0 4.0 6.0
"Luis and Julia have the same number of coins. Luis has only dimes, and Julia has only quarters. If Julia has $ N_00 more than Luis does, how much does each have?",v0 - v1 = 0.0 <BRG> 0.25 * v1 - 0.1* v0 = N_00,12.0 12.0,1.8
One number is N_00 more than the other. Their sum is N_01 . What is the value of the smaller number?,v0 + v1 = N_01 <BRG> v0 - v1 = N_00,3.0 -3.0,6.0 0.0
"A father is now four times as old as his son. If the sum of their ages ten years ago was sixty, find their present ages?",v0 + v1 = 60.0 + 10.0 + 10.0 <BRG> v0 - 4.0 * v1 = 0.0,16.0 64.0,
One number is N_00 of another. The larger number is N_01 more than the smaller number. What are the numbers?,v0 - N_00 * v1 = 0.0 <BRG> v1 - v0 = N_01,4.0 16.0,0.25 12.0
A chemistry student needs to make a solution that is N_00 water and N_01 hydrochloric acid. The student's current mixture of N_02 mL is N_03 water and N_04 hydrochloric acid. How much water must the student add to achieve his desired solution?,v0 - N_00 * v0 =N_00 * N_02 -N_03 * N_02,100.0,0.7 0.3 300.0 0.6 0.4
How many liters of fuel costing $ N_00 per liter must be mixed with N_01 liters of fuel costing $ N_02 per liter to obtain a mixture costing $ N_03 per liter.,N_02 * v0 - N_03 * v0 = N_03 * N_01 - N_01 * N_00,20.0,1.15 20.0 0.85 1.0
An investor is planning to invest $ N_00 for one year. She plans to invest a portion of this money at N_02 and the remaining at N_01 . What is the maximum amount of money that can be invested at N_02 in order to make at least $ N_03 for the year?,N_02* v0 +N_01 * v1 = N_03 <BRG> v1 + v0 =N_00,11000.0 14000.0,25000 .0 0.12 0.07 2450 .0
"Two pipes are pumping water into a N_00 gallon well. If the first pipe can pump water at the rate of N_01 gallons per hour and the second pipe can pump water at the rate of N_02 gallons per hour, in how many hours will the well be filled?",N_01 * v0 + N_02 * v0 = N_00,5.0,1200.0 48.0 192.0
"A farmer employs two students to pack peaches into trays for a market. At the end of the day, they have packed a total of N_00 trays. If student A packed N_01 trays for every N_02 that student B packed, how many did each of them pack?",N_01 * v0 - N_02 * v1 = 0.0 <BRG> v0 + v1 = N_00,120.0 168.0,288.0 5.0 7.0
The sum of two numbers is N_00 . One number is N_01 times the other number. What are the numbers?,v0 + v1 = N_00 <BRG> v1 - N_01 * v0 = 0.0,9.0 27.0,36.0 3.0
Morgan was very pleased with a N_00 improvement on her second SAT attempt. She got N_01 on her second try. What was her first score?,v0 +N_00 * v0 = N_01,1000.0,0.1 1100.0
"Rosa is N_00 years old, and Arthur is N_01 years old. How many years ago was Arthur three times as old as Rosa?",#NAME?,15.0,18.0 24.0
The sum of two numbers is N_00 . One number is N_01 times as big as the other. What is the smaller number?,v0 + v1 = N_00 <BRG> v1 - N_01 * v0 = 0.0,21.0 7.0,28.0 3.0
"A two-digit counting number has a value that is N_00 times the sum of its digits. If N_01 times the units' digit is N_02 more than the tens' digit, what is the number?",10.0 * v0 + v1 - N_00 * v0 - N_00 * v1 = 0.0 <BRG> N_01 * v1 - v0 = N_02,6.0 3.0,7.0 5.0 9.0
"The larger of two numbers is N_00 more than three times the smaller number. When the smaller number is subtracted from the larger number, the result is N_01 . Find the two numbers.",v0 - 3.0 * v1 = N_00 <BRG> v0 - v1 = N_01,16.0 3.0,7.0 13.0
A mother's age is three less than N_00 times her daughter's age. The sum of their ages is N_01 . Find their ages.,N_00 * v0 - v1 = N_00 <BRG> v0 + v1 = N_01,12.0 33.0,3.0 45.0
"On an algebra test, the highest grade was N_00 points more than the lowest grade. The sum of the two grades was N_01 . Find the highest grade.",v0 + v1 = N_01 <BRG> v0 - v1 = N_00,48.0 92.0,44.0 140.0
"Twice one number added to three times another gives N_00 . Find the numbers, if the difference between them is N_01 .",2.0 * v0 + N_01 * v1 = N_00 <BRG> v0 - v1 = N_01,3.0 6.0,21.0 3.0
"The sum of the digits of a two-digit counting number is N_00 . If the digits are reversed, the new number is two less than three times the original number. What is the original number?",N_00 * v0 + v1 - 3.0 * N_00 * v1 - 3.0 * v0 = - 1.0 * 2.0 <BRG> v0 + v1 = N_00,8.0 2.0,10.0
"A cashier has N_00 bills, all of which are $ N_01 or $ N_02 bills. The total value of the money is $ N_03 . How many of each type does the cashier have?",N_01 * v0 + N_02 * v1 = N_03 <BRG> v0 + v1 = N_00,27.0 3.0,30.0 10.0 20.0 330.0
"Last month, a bookstore ran an ad for calculators on sale; graphing calculators for $ N_00 and scientific calculators for $ N_01 . Sales of $ N_02 were generated, with N_03 more graphing calculators sold than the scientific calculators. How many of each type of calculators did the bookstore sell?",N_00 * v0 + N_01 * v1 = N_02 <BRG> v0 - v1 = N_03,35.0 50.0,87.0 18.0 4980.0 15.0
Lynn Ogen invested some money at N_00 interest and $ N_01 less than that at N_03 interest. Her total annual interest was $ N_02 . How much did she invest at N_03 interest?,N_00 * v0 + N_03* v1 = N_02 <BRG> v0 - v1 = N_01,400.0 500.0,0.09 100.0 73.0 0.07
"Two cars leave City A at the same time to travel to city B. One car travels at N_00 km/h and the other at N_01 km/h. If the slower car arrives N_02 hours after the faster car, how far apart are City A and City B?",N_01 * v0 - N_00 * v0 = N_01 * N_02,4.333329,72.0 78.0 0.333333
How many liters of a N_00 alcohol solution must be mixed with N_01 liters of a N_02 solution to get a N_03 solution?,N_00* v0 - N_03 * v0 = N_03 * N_01 - N_01 * N_02,40.0,0.2 60.0 0.7 0.5
Five gallons of light green latex paint that is N_00 yellow paint are combined with darker green latex paint that is N_01 yellow paint. How many gallons of darker green paint must be used to create a green paint that is N_02 yellow paint?,N_01 * v0 - N_02 * v0 =N_02 * 5.0 - 5.0 * N_00,1.66666666667,0.2 0.4 0.25
Sam does the job in N_00 days that Lisa can do in N_01 days that Tom can do in N_02 days. How long would it take to do the job if they all worked together?,1.0 / N_00 * v0 + 1.0 / N_01 * v0 + 1.0 / N_02 * v0 = 1.0,1.09090909091,4.0 6.0 2.0
A cyclist can travel N_00 miles in N_01 hours. How far can the same cyclist travel in N_02 hours?,N_01 * v0 = N_00 <BRG> N_02 * v0 - v2 = 0.0,13.7 68.5,54.8 4.0 5.0
"A pipe can fill a pool in N_00 hours; another pipe can fill in N_01 hours. If both pipes are applied to fill the pool, then how many hours will it take???",1.0 / N_00 * v0 + 1.0 / N_01 * v0 = 1.0,4.8,8.0 12.0
One number is N_00 /4 of another number. Their sum is N_01 . Find the numbers.,v0 + v1 = N_01 <BRG> v0 - N_00 / 4.0 * v1 = 0.0,27.0 36.0,3.0 63.0
"One number is fourteen more than twice another. If their sum is decreased by nine, the result is eleven. Find the numbers.",v0 + v1 = 9.0 + 11.0 <BRG> v1 - 2.0 * v0 = 14.0,2.0 18.0,
Gina has a pile of N_00 dimes and nickels worth $ N_01 . How much of each type does she have?,0.1 * v0 + 0.05* v1 = N_01 <BRG> v0 + v1 = N_00,14.0 36.0,50.0 4.3
There are N_00 questions on a test. Each question is worth either N_01 points or N_02 points. The total is N_03 points.,N_01 * v0 + N_02 * v1 = N_03 <BRG> v0 + v1 = N_00,20.0 4.0,24.0 4.0 5.0 100.0
A liter of cream contains N_00 percent butterfat. How much skim milk containing N_01 percent butterfat must be added to the mixture to obtain one liter of mixture with N_02 percent butterfat?,1.0 * v0 - N_02 * v0 = N_02 * N_01 - N_01 * N_00,3.0,9.5 5.5 6.5
Two cars leave Denver at the same time and travel in opposite directions. One car travels N_00 mi/h faster than the other car. The cars are N_01 mi apart in N_02 h. How fast is each car traveling?,N_02 * v0 + N_02 * v1 = N_01 <BRG> v1 - v0 = N_00,55.0 45.0,10.0 500.0 5.0
"How can $ N_00 be invested, part of it at N_01 and the rest of it invested at N_02 , so that the two investments will produce the same amount of interest?",N_01 * v0 - N_02* v1 = 0.0 <BRG> v0 + v1 = N_00,3000.0 2400.0,5400 .0 0.08 0.1
"Edwin is N_00 years older than his brother Alvin. In two years, Edwin will be N_01 more than one-third of Alvin's age. How old are the brothers now?",0.34* v0 - v0 = - 1.0 * N_01 - 0.34 * 2.0 <BRG> v0 - v3 = N_00,30.99999999 24.99999999,6.0 20.0
One number is N_00 more than N_01 times another number. Their sum is N_02 . What is the number?,v0 - N_01 * v1 = N_00 <BRG> v0 + v1 = N_02,20.3333333333 3.66666666667,2.0 5.0 24.0
"A woman is N_00 years of age, and her daughter is N_01 years old. In how many years will the mother be three times as old as her daughter?",v0 - 3.0 * v0 = 3.0 * N_01 - N_00,9.0,42.0 8.0
Two trains leave stations N_00 miles apart at the same time and travel toward each other. One train travels at N_01 miles per hour while the other travels at N_02 miles per hour. How long will it take for the two trains to meet?,N_01 * v0 + N_02 * v0 = N_00,2.8,476.0 80.0 90.0
"Steve has N_00 red poker chips and N_01 blue poker chips. Tom has N_02 red poker chips and N_03 blue poker chips. If Steve's chips are worth a total of $ N_04 and Tom's are worth a total of $ N_05 , determine the value of a blue-chip?",N_00 * v0 + N_01 * v1 = N_04 <BRG> N_02 * v0 + N_03 * v1 = N_05,7.0 4.0,5.0 7.0 9.0 3.0 69.0 57.0
The Smith family drove to the state park at N_00 miles per hour and returned on the same route at N_01 miles per hour. Find the distance to the state park if the total driving time was N_02 hours.,1.0 / N_00 * v0 + 1.0 / N_01 * v0 = N_02,240.0,60.0 50.0 8.8
The sum of two numbers is N_00 . Their difference is N_01 . What are the numbers?,v0 + v1 = N_00 <BRG> v0 - v1 = N_01,46.0 34.0,80.0 12.0
The sum of two numbers equals eighteen. The total of three times the smaller and two times the larger is N_00 .,2.0 * v0 + 3.0 * v1 = N_00 <BRG> v0 + v1 = 18.0,8.0 10.0,44.0
The larger of two numbers is N_00 more than N_01 times the other. Their sum is N_02 . Find the two numbers.,v0 - N_01 * v1 = N_00 <BRG> v0 + v1 = N_02,8.0 47.0,7.0 5.0 55.0
"John's age is four less than six times his brother's age, and the sum of their ages is equal to ten.",6.0 * v0 - v1 = 4.0 <BRG> v0 + v1 = 10.0,8.0 2.0,
"A can contains two different kinds of nuts, weighs N_00 pounds, and costs $ N_01 . One type of nut costs $ N_02 a pound. The other type costs $ N_03 a pound. How many pounds of $ N_03 nuts are there?",N_02 * v0 + N_03 * v1 = N_01 <BRG> v0 + v1 = N_00,3.0 2.0,5.0 16.0 3.5 2.75
"A train traveling N_00 miles per hour leaves for a certain town. Two hours later, a car traveling at N_01 miles per hour leaves for the same town and arrives at the same time as the train. If both the train and the car traveled in a straight line, how far is the town from where they started?",1.0 / N_00 * v0 - 1.0 / N_01 * v0 = 2.0,840.0,60.0 70.0
"Five friends drove at an average rate of N_00 miles per hour to a weekend retreat. On the way home, they took the same route but averaged N_01 miles per hour. What was the distance between home and the retreat if the round trip took N_02 hours?",1.0 / N_00 * v0 + 1.0 / N_01 * v0 = N_02,300.0,50.0 75.0 10.0
One number is N_00 more than twice another number. Find the larger number if their sum is N_01 .,v0 - 2.0 * v1 = N_00 <BRG> v0 + v1 = - 15.0,-9.0 -6.0,3.0 -15.0
"Nicole jogged for a distance and then turned around and walked back to her starting point. While jogging, she averaged N_00 miles per hour, and while walking, she averaged N_01 miles per hour. If the total time spent jogging and walking was N_02 hours, find how long she jogged.",N_01 * v0 - N_00 * v1 = 0.0 <BRG> v0 + v1 = N_02,1.0 3.0,7.2 2.4 4.0
Jim's weekly pay is N_00 of Alicia's. Together they earn N_01 dollars per week. What is each person's weekly pay?,v0 + v1 = N_01 <BRG> v1 - N_00 * v0 = 0.0,360.014400576 239.985599424,0.6666 600.0
The sum of two numbers is N_00 . Twice the first number minus the second is N_01 . Find the numbers.,2.0 * v0 - v1 = N_01 <BRG> v0 + v1 = - 11.0,-18.0 7.0,-11.0 32.0
"An airplane takes five hours to travel a distance of N_00 km against the wind. The return trip takes four hours with the wind. What is the rate of the plane in still air, and what is the rate of the wind?",4.0 * v0 + 4.0 * v1 = N_00 <BRG> 5.0 * v0 - 5.0 * v1 = N_00,810.0 90.0,3600.0
"It takes you N_00 minutes to rake the yard, and it takes your brother N_01 minutes. How long would it take for you both to rake the yard together?",1.0 / N_00 * v0 + 1.0 / N_01 * v0 = 1.0,18.0,30.0 45.0
Peter delivers N_00 newspapers on the weekend. He delivers N_01 more papers on Sunday than on Saturday. How many papers does he deliver each day?,v0 + v1 = N_00 <BRG> v0 - v1 = N_01,45.0 65.0,110.0 20.0
"Desiree is twice as old as her cousin now. In N_00 years time, Desiree's age will be N_01 years more than N_02 of her cousin's age. How old is Desiree now?",v0 - N_02 * v1 = N_02 * N_00 + N_01 - N_00 <BRG> v0 - 2.0 * v1 = 0.0,2.99999835 5.9999967,30.0 14.0 0.6666666
The sum of two numbers is N_00 . They have a difference of N_01 . Set up a system of equations and use it to find the two numbers.,v0 + v1 = N_00 <BRG> v0 - v1 = N_01,12.0 15.0,27.0 3.0
"One integer is N_00 more than N_01 times another. If the difference between the two integers is N_02 , what is the smaller integer?",v0 - N_01 * v1 = N_00 <BRG> v0 - v1 = N_02,32.0 6.0,2.0 5.0 26.0
"The music teacher is three times as old as Walt. In N_00 years, she will be twice as old as Walt. How old is Walt?",v0 - 2.0 * v1 = 2.0 * N_00 - N_00 <BRG> v0 - 3.0 * v1 = 0.0,12.0 36.0,12.0
An investor deposits $ N_00 into two accounts. Twice the larger deposit is $ N_01 less than three times the smaller deposit. Find the amount deposited in each account.,2.0 * v0 - 3.0 * v1 = N_01 <BRG> v1 + v0 = N_00,65000.0 35000.0,100000.0 25000.0
One number is N_00 more than another. The sum of the smaller number and twice the larger number is N_01 . Find the larger number.,v0 + 2.0 * v1 = N_01 <BRG> v1 - v0 = N_00,5.0 17.0,12.0 39.0
"If N_00 is added to a number and the sum is tripled, the result is N_01 more than the number. Find the number.",v0 - 3.0 * v0 = 3.0 * N_00 - N_01,3.0,5.0 21.0
"A father's age is four times that of his son. After N_00 years, it will be three times that of his son. How many more years will take if father's age is to be twice that of his son?",v0 - 3.0 * v1 = 3.0 * N_00 - N_00 <BRG> v0 - 4.0 * v1 = 0.0,40.0 10.0,5.0
"An investor invested a total of N_00  in two mutual funds. One fund earned a N_01 profit while the other earned a N_02 profit. If the investor's total profit was N_03 , how much was invested in each mutual fund?",N_02* v0 + N_01 * v1 = N_03 <BRG> v1 + v0 = N_00,1700.0 200.0,1900.0 0.09 0.02 52.0
"Seven years ago, Mary was N_00 times as old as Cora. In one year, she will be only twice as old as Cora. Find their present ages.",v0 - N_00 * v1 = - 1.0 * N_00 * 7.0 + 7.0 <BRG> v0 - 2.0 * v1 = 2.0 * 1.0 - 1.0,19.0 9.0,6.0
The sum of two numbers is N_00 . One number is N_01 more than twice the other number. What are the numbers?,v0 - 2.0 * v1 = N_01 <BRG> v0 + v1 = N_00,8.0 2.0,10.0 4.0
