Question,Equation,Answer,Numbers
"Mrs. Hilt baked pies last weekend for a holiday dinner . She baked N_00 pecan pies and N_01 apples pies . If she wants to arrange all of the pies in rows of N_02 pies each , how many rows will she have ?",N_00 + N_01,30.0,16.0 14.0 5.0
There are N_00 walnut trees currently in the park . Park workers will plant N_01 walnut trees today . How many walnut trees will the park have when the workers are finished ?,N_00 + N_01,77.0,33.0 44.0
N_00 people are going to the zoo . There are N_01 cars to take people to the zoo . How many will go in each car if the same number go in each car ?,N_00 / N_01,21.0,63.0 3.0
A toy store had N_00 giant stuffed bears in stock when they got another shipment with N_01 bears in it . The put the bears onto shelves with N_02 on each shelf . How many shelves did they use ?,( N_00 + N_01 ) / N_02,3.0,17.0 10.0 9.0
"Rachel was playing a video game where she scores N_00 points for each treasure she finds . If she found N_01 treasures on the first level and N_02 on the second , what would her score be ?",N_00 * ( N_01 + N_02 ),63.0,9.0 5.0 2.0
Denise removes N_00 bananas from a jar . There were originally N_01 bananas in the jar . How many bananas are left in the jar ?,N_01 - N_00,41.0,5.0 46.0
Mrs. Hilt wants to make a border around her garden . She needs N_00 rocks to complete the border . She has N_01 rocks . How many more rocks does she need to complete the border ?,N_00 - N_01,61.0,125.0 64.0
"Wendy picked N_00 flowers for her friend ’ s wedding . She was making bouquets with N_01 flowers in each one . If N_02 of the flowers wilted before the wedding , how many bouquets could she still make ?",( N_00 - N_02 ) / N_01,2.0,45.0 5.0 35.0
"A company invited N_00 people to a luncheon , but N_01 of them did n't show up . If the tables they had held N_02 people each , how many tables do they need ?",( N_00 - N_01 ) / N_02,5.0,45.0 35.0 2.0
"For a birthday party George bought N_00 regular sodas and N_01 diet sodas . If his fridge would only hold N_02 on each shelf , how many shelves would he fill up ?",( N_00 + N_01 ) / N_02,8.0,10.0 22.0 4.0
Carol collects N_00 peanuts . Carol 's father gives Carol N_01 more . How many peanuts does Carol have ?,N_00 + N_01,7.0,2.0 5.0
"For Halloween Debby and her sister combined the candy they received . Debby had N_00 pieces of candy while her sister had N_01 . If they ate N_02 pieces the first night , how many pieces do they have left ?",N_00 + N_01 - N_02,39.0,32.0 42.0 35.0
Ruth starts with N_00 apples . She shares N_01 with Peter . How many apples does Ruth end with ?,N_00 - N_01,84.0,89.0 5.0
Benny found N_00 seashells and N_01 starfish on the beach . He gave N_02 of the seashells to Jason . How many seashells does Benny now have ?,N_00 - N_02,14.0,66.0 49.0 52.0
Jorge scored N_00 goals playing soccer last season . This season he scored N_01 goals . What is the total number of goals Jorge scored ?,N_00 + N_01,343.0,156.0 187.0
Anne weighs N_00 pounds . Douglas weighs N_01 pounds . How much heavier is Anne than Douglas ?,N_00 - N_01,15.0,67.0 52.0
"At the arcade Cody won N_00 tickets . If he spent N_01 tickets on a beanie and later won N_02 more tickets , how many would he have ?",N_00 + N_02 - N_01,30.0,49.0 25.0 6.0
Benny worked N_00 hours for N_01 days . How many hours did he work in total ?,N_00 * N_01,18.0,3.0 6.0
"There were N_00 friends playing a video game online when N_01 players quit . If each player left had N_02 lives , how many lives did they have total ?",N_02 * ( N_00 - N_01 ),30.0,13.0 8.0 6.0
"Sarah had some trucks . She gave N_00 to Jeff , and now she has N_01 trucks left . How many trucks did Sarah have to start with ?",N_00 + N_01,51.0,13.0 38.0
"Adam had N_00 books . If he sold N_01 of them and used the money he earned to buy N_02 new books , how many books would Adam have ?",N_00 + N_02 - N_01,45.0,33.0 11.0 23.0
"Ron weighed N_00 colored metal balls during a science class . The blue ball weighed N_01 pounds and the brown ball weighed N_02 pounds . If Ron places both balls on the scale at the same time , what will the scale read ?",N_01 + N_02,9.12,2.0 6.0 3.12
"Lexie ’ s younger brother helped pick up all the paper clips in Lexie ’ s room . He was able to collect N_00 paper clips . If he wants to distribute the paper clips in N_01 boxes , how many paper clips will each box contain ?",N_00 / N_01,9.0,81.0 9.0
"Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were N_00 ton , N_01 ton , and N_02 ton . How many tons of marble did Paco 's Countertop Company purchase in all ?",N_00 + N_00 + N_02,0.75,0.3333333333333333 0.3333333333333333 0.08333333333333333
"Pamela bought N_00 ounces of sugar , and she spilled N_01 ounces of it on the floor . How much is ?",N_00 - N_01,4.6,9.8 5.2
"Dan has N_00 violet marbles , he gave Mary N_01 of the marbles . How many violet marbles does he now have ?",N_00 - N_01,50.0,64.0 14.0
N_00 boys went down the slide . N_01 more boys went down the slide . How many boys went down the slide ?,N_00 + N_01,35.0,22.0 13.0
Brennan had N_00 grams of pepper . Then he used N_01 grams of the pepper to make some scrambled eggs . How much pepper does Brennan have ?,N_00 - N_01,0.09,0.25 0.16
"Robin was making baggies of cookies with N_00 cookies in each bag . If she had N_01 chocolate chip cookies and N_02 oatmeal cookies , how many baggies could she make ?",( N_01 + N_02 ) / N_00,8.0,6.0 23.0 25.0
"While playing a video game , Paul scored N_00 points . He and his cousin together have a total of N_01 points . How many points does Paul 's cousin have ?",N_01 - N_00,2713.0,3103.0 5816.0
"There are N_00 books in Oak Grove 's public library . In addition , there are N_01 books in its school libraries . How many books do the libraries in Oak Grove have overall ?",N_00 + N_01,7092.0,1986.0 5106.0
"A waiter had N_00 tables he was waiting on , with N_01 women and N_02 men at each table . How many customers total did the waiter have ?",N_00 * ( N_00 + N_02 ),63.0,7.0 7.0 2.0
Jane buys an apple for $ N_00 and pays with a $ N_01 bill . How much change will she get ?,N_01 - N_00,4.25,0.75 5.0
N_00 birds were sitting in a tree . N_01 more birds flew up to the tree . How many birds were there altogether in the tree ?,N_00 + N_01,217.0,179.0 38.0
"For the school bake sale Katie made N_00 cupcakes . If she sold N_01 of them and then made N_02 more , how many cupcakes would she have ?",N_00 + N_01 - N_01,26.0,26.0 20.0 20.0
Kaleb was selling his old games . He started out with N_00 but sold N_01 of them . He packed the rest up putting N_02 games into each box . How many boxes did he have to use ?,( N_00 - N_01 ) / N_02,6.0,76.0 46.0 5.0
Nancy has N_00 five dollars bills . How much money does she have ?,N_00 * 5.0,45.0,9.0
"Sara grew N_00 pumpkins , but the rabbits ate N_01 pumpkins . How many pumpkins does Sara have ?",N_00 - N_01,20.0,43.0 23.0
Marcia spent N_00 minutes working on her science project . How many hours did Marcia spend on her science project ?,N_00 / 60.0,5.0,300.0
There are N_00 walnut trees currently in the park . Park workers will plant N_01 more walnut trees today . How many walnut trees will the park have when the workers are finished ?,N_00 + N_01,211.0,107.0 104.0
Melanie had N_00 dimes in her bank . Her dad gave her N_01 dimes and her mother gave her N_02 dimes . How many dimes does Melanie have now ?,N_00 + N_01 + N_02,83.0,19.0 39.0 25.0
"I read N_00 pages of my English book yesterday . Today , I read N_01 pages . What is the total number of pages did I read ?",N_00 + N_01,38.0,21.0 17.0
Barbara has N_00 candies . She buys N_01 more . How many candies does Barbara have in all ?,N_00 + N_01,27.0,9.0 18.0
"Jack has a section filled with short story booklets . If each booklet has N_00 pages and there are N_01 booklets in the short story section , how many pages will Jack need to go through if he plans to read them all ?",N_00 * N_01,441.0,9.0 49.0
"Tom bought N_00 tickets at the state fair . He spent N_01 tickets at the ' dunk a clown ' booth and decided to use the rest on rides . If each ride cost N_02 tickets , how many rides could he go on ?",( N_00 - N_01 ) / N_02,3.0,40.0 28.0 4.0
Brian has N_00 cards . Wayne takes N_01 away . How many cards will Brian have ?,N_00 - N_01,17.0,76.0 59.0
Willie has N_00 bananas . Charles has N_01 bananas . He loses N_02 . How many bananas will Willie have ?,N_00 - N_02,13.0,48.0 14.0 35.0
"Evelyn has N_00 marbles . She gets N_01 more from Henry . Later , Evelyn buys N_02 cards at the store . How many marbles does Evelyn have in all ?",N_00 + N_01,104.0,95.0 9.0 6.0
"The number of inquiries the first week was N_00 . The number of inquiries in the fourth week was N_01 . Find the average rate of change in number of inquiries from the first week to the fourth week , in inquiries per week .",( N_01 - N_00 ) / ( 4.0 - 1.0 ),21.3333,15.0 79.0
"Sally had N_00 baseball cards , and N_01 were torn . Sara bought N_02 of Sally 's baseball cards . How many baseball cards does Sally have now ?",N_00 - N_02,15.0,39.0 9.0 24.0
Gwen bought two coloring books . One had N_00 pictures and the other had N_01 . After one week she had already colored N_02 of the pictures . How many pictures does she still have to color ?,N_00 + N_01 - N_02,36.0,10.0 39.0 13.0
Diana starts with N_00 bottle caps . N_01 are eaten by a hippopotamus . How many bottle caps does Diana end with ?,N_00 - N_01,61.0,65.0 4.0
There are N_00 dogwood trees currently in the park . Park workers will plant N_01 more dogwood trees today and N_02 more dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?,N_00 + N_01 + N_02,12.0,7.0 3.0 2.0
Luke was selling his old games . He started out with N_00 but sold N_01 of them . He packed the rest up putting N_02 games into each box . How many boxes did he have to use ?,( N_00 - N_01 ) / N_02,9.0,57.0 39.0 2.0
"Edward bought N_00 tickets at the state fair . He spent N_01 tickets at the ' dunk a clown ' booth and decided to use the rest on rides . If each ride cost N_02 tickets , how many rides could he go on ?",( N_00 - N_01 ) / N_02,8.0,79.0 23.0 7.0
"The Montoya family spends N_00 their budget on groceries and another N_01 going out to eat . Altogether , what fraction of their budget does the Montoya family spend on food ?",N_00 + N_01,0.8,0.6 0.2
A pet store had N_00 siamese cats and N_01 house cats . During a sale they sold N_02 cats . How many cats do they have left ?,N_00 + N_01 - N_02,18.0,38.0 25.0 45.0
"A bucket contains N_00 gallons of water . If Derek adds N_01 gallons more , how many gallons will there be in all ?",N_00 + N_01,9.8,3.0 6.8
"Vanessa and her friends were recycling paper for their class . For every N_00 pounds they recycled they earned one point . If Vanessa recycled N_01 pounds and her friends recycled N_02 pounds , how many points did they earn ?",( N_01 + N_02 ) / N_00,4.0,9.0 20.0 16.0
"While on vacation , Rachel took N_00 pictures at the zoo and N_01 at the museum . If she later deleted N_02 of the pictures , how many pictures from her vacation did she still have ?",N_00 + N_01 - N_02,4.0,6.0 9.0 11.0
Lucy has an aquarium with N_00 fish . She wants to buy N_01 more fish . How many fish would Lucy have then ?,N_00 + N_01,280.0,212.0 68.0
"If Charles strolled N_00 miles at N_01 miles per hour , how long was Charles travelling ?",N_00 / N_01,2.0,6.0 3.0
A pet store had N_00 siamese cats and N_01 house cats . During a sale they sold N_02 cats . How many cats do they have left ?,N_00 + N_01 - N_02,54.0,41.0 28.0 15.0
Sam went to N_00 football games this year . He went to N_01 games last year . How many football games did Sam go to in all ?,N_00 + N_01,43.0,14.0 29.0
"A dust storm sweeps across the prairie . It covers N_00 acres of the prairie in dust , but leaves N_01 acres untouched . How many acres does the prairie cover ?",N_00 + N_01,65057.0,64535.0 522.0
"A company invited N_00 people to a luncheon , but N_01 of them did n't show up . If the tables they had held N_02 people each , how many tables do they need ?",( N_00 - N_01 ) / N_02,8.0,47.0 7.0 5.0
Craig has N_00 apples . Judy has N_01 apples . He shares N_02 with Eugene . How many apples will Craig have ?,N_00 - N_02,13.0,20.0 11.0 7.0
Jill invited N_00 people to her birthday party . They each ate N_01 pieces of pizza . How many pieces of pizza did they eat ?,N_00 * N_01,296.0,37.0 8.0
"Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , N_00 male and N_01 female salmon returned to their rivers . How many salmon made the trip ?",N_00 + N_01,971639.0,712261.0 259378.0
"Bianca was organizing her book case making sure each of the shelves had exactly N_00 books on it . If she had N_01 shelves of mystery books and N_02 shelves of picture books , how many books did she have total ?",N_00 * ( N_01 + N_02 ),72.0,8.0 5.0 4.0
"When Jake had N_00 cat , he needed to serve N_01 can of cat food each day . Now that Jake has adopted a second cat , he needs to serve a total of N_02 can each day . How much extra food is needed to feed the second cat ?",N_02 - N_01,0.4,1.0 0.5 0.9
There are N_00 apples in a pile on the desk . Each apple comes in a package of N_01 . N_02 apples are added to the pile . How many apples are there in the pile ?,N_00 + N_02,13.0,8.0 11.0 5.0
There are N_00 bicycles and N_01 tricycles in the storage area at Danny 's apartment building . Each bicycle has N_02 wheels and each tricycle has N_03 wheels . How many wheels are there in all ?,N_00 * N_02 + N_01 * N_03,90.0,24.0 14.0 2.0 3.0
The school is planning a field trip . There are N_00 students and N_01 seats on each school bus . How many buses are needed to take the trip ?,N_00 / N_01,3.0,180.0 60.0
"Rachel was playing a video game and had N_00 lives . In a hard part of the game she lost N_01 lives . If she got N_02 more lives in the next level , how many lives would she have ?",N_00 + N_02 - N_01,32.0,10.0 4.0 26.0
Heather has N_00 oranges . Russell takes N_01 away . How many oranges will Heather have ?,N_00 - N_01,25.0,60.0 35.0
"Vanessa had N_00 music files and N_01 video files on her flash drive . If she deleted N_02 of the files , how many files were still on her flash drive ?",N_00 + N_01 - N_02,34.0,16.0 48.0 30.0
Keith grew N_00 turnips . Alyssa grew N_01 turnips . How many turnips did they grow in all ?,N_00 + N_01,15.0,6.0 9.0
"There are N_00 students in the class and N_01 pencils . If the pencils are divided equally among the students , how many does each student get ?",N_01 / N_00,9.0,2.0 18.0
"Zoe baked N_00 brownies , but needed N_01 total for her party . If she used N_02 cups of flour on each one , how much cups of flour does she still need ?",N_02 * ( N_01 - N_00 ),42.0,5.0 11.0 7.0
"Tom went to N_00 hockey games this year , but missed N_01 . He went to N_02 games last year . How many hockey games did Tom go to in all ?",N_00 + N_02,13.0,4.0 7.0 9.0
"Emily bought N_00 new chairs and N_01 new tables for her house . If she spent N_02 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?",N_02 * ( N_00 + N_01 ),48.0,4.0 2.0 8.0
Sam has N_00 books . Joan has N_01 books . How many books do they have together ?,N_00 + N_01,212.0,110.0 102.0
Sam had N_00 dimes in his bank . His dad gave him N_01 dimes . How many dimes does Sam have now ?,N_00 + N_01,16.0,9.0 7.0
A number is N_00 less than the sum of N_01 and N_02 . What is the number ?,N_01 + N_02 - N_00,45.0,14.0 30.0 29.0
Sam went to N_00 football games this year . He went to N_01 games last year . How many football games did Sam go to in all ?,N_00 + N_01,43.0,14.0 29.0
Nancy bought N_00 crayons that came in packs of N_01 . How many packs of crayons did Nancy buy ?,N_00 / N_01,41.0,615.0 15.0
Scarlett made a fruit salad with N_00 pound of melon and N_01 pound of berries . How many pounds of fruit did Scarlett use in all ?,N_00 + N_01,0.625,0.25 0.375
"At Oliver 's Restaurant a group with N_00 adults and N_01 children came in to eat . If each meal cost N_02 dollars , how much was the bill ?",N_02 * ( N_00 + N_01 ),18.0,2.0 4.0 3.0
"A waiter had N_00 customers to wait on . If N_01 customers left and he got another N_02 customers , how many customers would he have ?",N_00 + N_02 - N_01,41.0,19.0 14.0 36.0
There are N_00 marbles in each box . How many marbles are in N_01 boxes ?,N_00 * N_01,18.0,6.0 3.0
"A farmer estimates that he will harvest N_00 bushels of wheat . The weather is perfect during the growing season , so he harvests N_01 more bushels of wheat than expected . How many bushels of wheat does the farmer harvest ?",N_00 + N_01,48781.0,48097.0 684.0
"Joan has N_00 blue balloons , Sally has N_01 blue balloons , and Jessica has N_02 blue balloons . How many blue balloons do they have in total ?",N_00 + N_01 + N_02,16.0,9.0 5.0 2.0
Jacqueline has N_00 boxes of erasers . Each box holds N_01 erasers and there are N_02 boxes in a case . How many erasers does Jacqueline have ?,N_00 * N_01,40.0,4.0 10.0 9.0
There are N_00 fishbowls . Each fishbowl has N_01 fish . How many fish are there ?,N_00 * N_01,6003.0,261.0 23.0
Benny bought N_00 dozen eggs from the grocery store to bake some cakes . How many eggs did Benny buy ?,N_00 * 12.0,84.0,7.0
"Vanessa and her mom were picking carrots from their garden . Vanessa picked N_00 and her mother picked N_01 . If only N_02 of the carrots were good , how many bad carrots did they have ?",N_00 + N_01 - N_02,7.0,17.0 14.0 24.0
Brenda starts with N_00 Skittles . She buys N_01 more . How many Skittles does Brenda end with ?,N_00 + N_01,15.0,7.0 8.0
There are N_00 pots . Each pot has N_01 flowers in it . How many flowers are there in all ?,N_00 * N_01,17408.0,544.0 32.0
Juan ran N_00 miles at N_01 miles per hour . How long did Juan run ?,N_00 / N_01,8.0,80.0 10.0
"A painter needed to paint N_00 rooms in a building . Each room takes N_01 hours to paint . If he already painted N_02 rooms , how much longer will he take to paint the rest ?",N_01 * ( N_00 - N_02 ),63.0,11.0 7.0 2.0
"April 's discount flowers was having a sale where each rose was N_00 dollars . If April started with N_01 roses and had N_02 roses left , how much money did she earn ?",N_00 * ( N_01 - N_02 ),27.0,9.0 11.0 8.0
Emily was planting vegetables in her garden . She started with N_00 seeds and planted N_01 of them in the big garden and in each of her small gardens put N_02 seeds each . How many small gardens did Emily have ?,( N_00 - N_01 ) / N_02,3.0,41.0 29.0 4.0
Albert has two snakes . The garden snake is N_00 inches long . The boa constrictor is N_01 times longer than the garden snake . How long is the boa constrictor ?,N_00 * N_01,70.0,10.0 7.0
Charles has N_00 Skittles . Diana takes N_01 away . How many Skittles will Charles have ?,N_00 - N_01,18.0,25.0 7.0
"Megan was selling her necklaces at a garage sale . She sold N_00 bead necklaces and N_01 gem stone necklaces . If each necklace cost N_02 dollars , how much money did she earn ?",N_02 * ( N_00 + N_01 ),90.0,7.0 3.0 9.0
The school is planning a field trip . There are N_00 students and N_01 seats on each school bus . How many buses are needed to take the trip ?,N_00 / N_01,3.0,9.0 3.0
Melanie goes fishing with Tom . Melanie catches N_00 trout . Tom catches N_01 times as many trout as Melanie . How many trout did Tom catch ?,N_00 * N_01,16.0,8.0 2.0
Mrs. Franklin had N_00 Valentines . Mrs. Franklin gave some to her students . Now she has N_01 . How many Valentines did Mrs. Franklin give to her students ?,N_00 - N_01,42.0,58.0 16.0
"Isha ’ s pencil is N_00 inches long . If she sharpens it , now her pencil is N_01 inches long . How much did she sharpen off of her pencil ?",N_00 - N_01,17.0,31.0 14.0
"Jerry had N_00 action figures , but needed N_01 total for a complete collection . If each one costs $ N_02 , how much money would he need to finish his collection ?",N_02 * ( N_01 - N_00 ),72.0,7.0 16.0 8.0
There are N_00 crayons and N_01 pencils in the drawer . Sam placed N_02 crayons in the drawer . How many crayons are now there in total ?,N_00 + N_02,53.0,41.0 26.0 12.0
Jennifer starts with N_00 apples . She finds another N_01 . How many apples does Jennifer end with ?,N_00 + N_01,81.0,7.0 74.0
"Ned was trying to expand his game collection . He bought N_00 games from a friend and bought N_01 more at a garage sale . If N_02 of the games did n't work , how many good games did he end up with ?",N_00 + N_01 - N_02,3.0,50.0 27.0 74.0
Frank and his friend were buying trick decks from the magic shop for N_00 dollars each . How much did they spend if Frank bought N_01 decks and his friend bought N_02 decks ?,N_00 * ( N_01 + N_02 ),35.0,7.0 3.0 2.0
"In Mr. Olsen 's mathematics class , N_00 the students received A 's and N_01 received B 's . What fraction of the students received either A 's or B 's ?",N_00 + N_01,0.9,0.7 0.2
Roger had N_00 dollars . For his birthday he got N_01 more dollars but spent N_02 on a new game . How much money does he have now ?,N_00 + N_01 - N_02,15.0,29.0 20.0 34.0
"Sandy has N_00 books , Benny has N_01 books , and Tim has N_02 books . How many books do they have together ?",N_00 + N_01 + N_02,67.0,10.0 24.0 33.0
"There are N_00 cards in Jean 's card collection . If the cards are organized into N_01 groups , how big is each group ?",N_00 / N_01,8.0,72.0 9.0
"There were N_00 pieces of candy in a jar . If N_01 pieces were red and the rest were blue , how many were blue ?",N_00 - N_01,3264.0,3409.0 145.0
"Martha has N_00 peanuts . Joyce has N_01 peanuts . If Joyce gives all of her peanuts to Martha , how many peanuts will Martha have ?",N_00 + N_01,28.0,2.0 26.0
Jason grew N_00 watermelons and N_01 cantelopes . Dan grew N_02 watermelons . How many watermelons did they grow in total ?,N_00 + N_02,63.0,32.0 22.0 31.0
There are N_00 walnut trees currently in the park . Park workers will plant N_01 walnut trees today . How many walnut trees will the park have when the workers are finished ?,N_00 + N_01,211.0,107.0 104.0
"A bathing suit manufacturer has a supply of N_00 bathing suits for men . In addition , it has N_01 bathing suits for women . How many bathing suits are available overall ?",N_00 + N_01,19766.0,14797.0 4969.0
A carpenter bought a piece of wood that was N_00 meters long . Then she sawed N_01 meters off the end . How long is the piece of wood now ?,N_00 - N_01,0.08,0.41 0.33
"At the arcade Dave won N_00 tickets . If he spent N_01 tickets on a beanie and later won N_02 more tickets , how many would he have ?",N_00 + N_02 - N_01,18.0,25.0 22.0 15.0
"David has N_00 bananas . He gets N_01 more from Christopher . Later , David buys N_02 cards at the store . How many bananas does David have in all ?",N_00 + N_01,58.0,8.0 50.0 9.0
Wendy had N_00 files on her computer . She deleted N_01 of them and put the rest into folders with N_02 files in each one . How many folders did Wendy end up with ?,( N_00 - N_01 ) / N_02,9.0,82.0 37.0 5.0
"A new building needed N_00 windows . The builder had already installed N_01 of them . If it takes N_02 hours to install each window , how long will it take him to install the rest ?",N_02 * ( N_00 - N_01 ),20.0,10.0 6.0 5.0
Ellen went to a garage sale to buy chairs . Each chair cost N_00 dollars . How much money did Ellen spend for the N_01 chairs she bought ?,N_00 * N_01,180.0,15.0 12.0
A marine biologist measured N_00 fish that was N_01 foot long and a second fish that was N_02 foot long . How much longer was the first fish ?,N_01 - N_02,0.1,1.0 0.3 0.2
"A cell phone company has a total of N_00 customers across the world . If N_01 of its customers live in the United States , how many of its customers live in other countries ?",N_00 - N_01,6699.0,7422.0 723.0
"Bianca and her friends were recycling paper for their class . For every N_00 pounds they recycled they earned one point . If Bianca recycled N_01 pounds and her friends recycled N_02 pounds , how many points did they earn ?",( N_00 + N_01 ) / N_00,9.0,3.0 24.0 3.0
Wayne collects N_00 blocks . Wayne 's father gives Wayne N_01 more . How many blocks does Wayne have ?,N_00 + N_01,15.0,9.0 6.0
"Kaleb was collecting cans for recycling . On Saturday he filled N_00 bags up and on Sunday he filled N_01 more bags . If each bag had N_02 cans in it , how many cans did he pick up total ?",N_02 * ( N_00 + N_00 ),40.0,5.0 5.0 4.0
Mrs. Santiago has N_00 red roses . Mrs. Garrett has N_01 . How many more red roses does Mrs. Santiago have than Mrs. Garrett ?,N_00 - N_01,34.0,58.0 24.0
"While shopping for music online , Janet bought N_00 country albums and N_01 pop albums . Each album came with a lyric sheet and had N_02 songs . How many songs did Janet buy total ?",N_02 * ( N_00 + N_01 ),72.0,6.0 2.0 9.0
"Isabel had N_00 homework problems . She finished N_01 of them but still had N_02 pages of problems to do . If each page has the same number of problems on it , how many problems are on each page ?",( N_00 - N_01 ) / N_02,8.0,72.0 32.0 5.0
"When relatives visit Haley and her family , she and her cousins do origami . If she has N_00 origami papers to give away to her N_01 cousins , how many will each receive if she gives everyone the same number of origami papers ?",N_00 / N_01,8.0,48.0 6.0
A pet store had N_00 siamese cats and N_01 house cats . During a sale they sold N_02 cats . How many cats do they have left ?,N_00 + N_01 - N_02,8.0,19.0 45.0 56.0
"Sam found N_00 seashells on the beach , he gave Joan N_01 of the seashells . How many seashells does he now have ?",N_00 - N_01,17.0,35.0 18.0
"Diane has N_00 crayons . She gets N_01 more from Frances . Later , Diane buys N_02 cards at the store . How many crayons does Diane have in all ?",N_00 + N_01,42.0,37.0 5.0 16.0
"Bridget has N_00 Skittles . Henry has N_01 Skittles . If Henry gives all of his Skittles to Bridget , how many Skittles will Bridget have ?",N_00 + N_00,8.0,4.0 4.0
Johnny saved $ N_00 in September . He saved $ N_01 in October and $ N_02 in November . Then Johnny spent $ N_03 on a video game . How much money does Johnny have left ?,N_00 + ( N_01 + N_02 ) - N_03,67.0,30.0 49.0 46.0 58.0
"Paige had N_00 songs on her mp3 player . If she deleted N_01 old songs from it and then added N_02 new songs , how many songs does she have on her mp3 player ?",N_00 + N_02 - N_01,10.0,11.0 9.0 8.0
Sara picked N_00 pears and Tim picked N_01 pears from the pear tree . How many pears were picked in total ?,N_00 + N_01,11.0,6.0 5.0
"While on vacation , Haley took N_00 pictures at the zoo and N_01 at the museum . If she later deleted N_02 of the pictures , how many pictures from her vacation did she still have ?",N_00 + N_01 - N_02,20.0,50.0 8.0 38.0
Iesha has N_00 books . N_01 are about school and the rest are about sports . How many books about sports does Iesha have ?,N_00 - N_01,208.0,344.0 136.0
David had N_00 dollars invested for N_01 of a year at a simple rate of N_02 % . How much interest did he earn ?,N_00 * N_01 * N_02 * 0.01,61.0,4000.0 0.25 6.1
"Adam had N_00 books . If he sold N_01 of them and used the money he earned to buy N_02 new books , how many books would Adam have ?",N_00 + N_02 - N_01,67.0,48.0 19.0 38.0
Sally grew N_00 carrots . Fred grew N_01 carrots . How many carrots did they grow in all ?,N_00 + N_01,10.0,6.0 4.0
Mrs. Hilt saw a rollercoaster . N_00 students rode the rollercoaster every N_01 minutes . How many students rode the rollercoaster in N_02 minutes ?,N_00 * ( N_02 / N_01 ),21.0,7.0 5.0 15.0
The school is planning a field trip . There are N_00 students and N_01 seats on each school bus . How many buses are needed to take the trip ?,N_00 / N_01,4.0,28.0 7.0
"Rosa had N_00 flowers . Andre gave her some more flowers . Now , Rosa has N_01 flowers . How many flowers did Andre give to Rosa ?",N_01 - N_00,23.0,67.0 90.0
"Paige and her friends were recycling paper for their class . For every N_00 pounds they recycled they earned one point . If Paige recycled N_01 pounds and her friends recycled N_02 pounds , how many points did they earn ?",( N_01 + N_02 ) / N_00,4.0,4.0 14.0 2.0
Benny 's high school played N_00 baseball games this year . He attended N_01 games . How many baseball games did Benny miss ?,N_00 - N_01,25.0,39.0 14.0
"Frank made N_00 dollars mowing lawns and N_01 dollars weed eating . If he only spent N_02 dollar a week , how long would the money last him ?",( N_00 + N_01 ) / N_02,9.0,5.0 58.0 7.0
"The school cafeteria ordered N_00 red apples and N_01 green apples for students lunches . But , if only N_02 students wanted fruit , how many extra did the cafeteria end up with ?",N_00 + N_01 - N_02,9.0,8.0 43.0 42.0
"A ship full of grain crashes into a coral reef . By the time the ship is fixed , N_00 tons of grain have spilled into the water . Only N_01 tons of grain remain onboard . How many tons of grain did the ship originally contain ?",N_00 + N_01,50870.0,49952.0 918.0
Joan grew N_00 carrots and N_01 watermelons . Jessica grew N_02 carrots . How many carrots did they grow in all ?,N_00 + N_02,40.0,29.0 14.0 11.0
Joan picked N_00 oranges and Sara picked N_01 oranges . Alyssa picked N_02 pears . How many oranges were picked in total ?,N_00 + N_01,47.0,37.0 10.0 30.0
"At a pizza party , Mason and his friends drank N_00 bottles of lemon - lime soda and N_01 bottles of cola . How much soda did they drink in all ?",N_00 + N_00,5.333333333333333,2.6666666666666665 2.6666666666666665
"In a class of N_00 students , N_01 received a grade of A . What percent of the students received A 's ?",N_01 / N_00 * 100.0,32.0,25.0 8.0
If Norma wandered for N_00 hours at N_01 miles per hour . How far did Norma go ?,N_00 * N_01,15.0,5.0 3.0
"If Teresa jogged N_00 kilometers at N_01 kilometers per hour , how long was Teresa jogging ?",N_00 / N_01,5.0,25.0 5.0
"Jason went to N_00 football games this month . He went to N_01 games last month , and plans to go to N_02 games next month . How many games will he attend in all ?",N_00 + N_01 + N_02,44.0,11.0 17.0 16.0
"Bonnie 's science class recorded the rainfall each day . They recorded N_00 centimeter of rain on Monday , N_01 centimeter of rain on Tuesday , and N_02 centimeter of rain on Wednesday . How many centimeters of rain did the class record in all ?",N_00 + N_01 + N_02,0.6666666666666666,0.16666666666666666 0.4166666666666667 0.08333333333333333
There are N_00 walnut trees currently in the park . Park workers will plant walnut trees today . When the workers are finished there will be N_01 walnut trees in the park . How many walnut trees did the workers plant today ?,N_01 - N_00,33.0,22.0 55.0
"Zoe had N_00 songs on her mp3 player . If she deleted N_01 old songs from it and then added N_02 new songs , how many songs does she have on her mp3 player ?",N_00 + N_02 - N_01,57.0,15.0 8.0 50.0
Tyler had N_00 dogs . Each dog had N_01 puppies . How many puppies does Tyler now have ?,N_00 * N_01,75.0,15.0 5.0
Katie had N_00 files on her computer . She deleted N_01 of them and put the rest into folders with N_02 files in each one . How many folders did Katie end up with ?,( N_00 - N_01 ) / N_02,9.0,85.0 40.0 5.0
